"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"4688531";"1";"2026-01-19 04:45:00.000";"22";"1"
"4688548";"1";"2026-01-19 15:00:00.000";"13";"2"
"4688549";"1";"2026-01-19 15:00:00.000";"21";"10"
"4688550";"1";"2026-01-19 15:00:00.000";"25";"3"
"4825719";"1";"2026-01-19 15:00:00.000";"25";"1"
"4825719";"2";"2026-01-19 15:00:00.000";"17";"2"
"4959032";"1";"2026-01-19 14:30:00.000";"43";"1"
"4959083";"1";"2026-01-19 15:00:00.000";"33";"1"
"4959083";"2";"2026-01-19 14:30:00.000";"26";"1"
"7853485";"2";"2026-01-19 12:45:00.000";"21";"1"
"7853493";"1";"2026-01-19 14:45:00.000";"26";"1"
"9774971";"1";"2026-01-19 13:15:00.000";"79";"1"
"11110026";"1";"2026-01-19 13:15:00.000";"16";"1"
"13769164";"1";"2026-01-19 15:00:00.000";"26";"5"
"13769290";"1";"2026-01-19 15:00:00.000";"14";"2"
"13769313";"1";"2026-01-19 02:00:00.000";"17";"1"
"13769313";"2";"2026-01-19 08:15:00.000";"21";"1"
"13866832";"1";"2026-01-19 12:30:00.000";"32";"1"
"13866835";"1";"2026-01-19 15:00:00.000";"21";"1"
"13866973";"1";"2026-01-18 15:00:00.000";"74";"1"
"13868791";"1";"2026-01-19 15:00:00.000";"24";"13"
"13873378";"1";"2026-01-19 14:30:00.000";"131";"1"
"13987098";"1";"2026-01-19 15:00:00.000";"69";"3"
"14087678";"1";"2026-01-19 14:45:00.000";"17";"1"
"14088029";"1";"2026-01-19 12:45:00.000";"25";"1"
"14088029";"2";"2026-01-19 12:30:00.000";"23";"1"
"14088080";"1";"2026-01-19 14:30:00.000";"29";"1"
"14088246";"1";"2026-01-19 15:00:00.000";"40";"2"
"14088380";"1";"2026-01-19 15:00:00.000";"23";"1"
"14088780";"1";"2026-01-19 15:00:00.000";"19";"1"
"14089056";"1";"2026-01-19 15:00:00.000";"27";"2"
"14089056";"2";"2026-01-19 15:00:00.000";"27";"1"
"14121198";"2";"2026-01-19 14:15:00.000";"62";"1"
"14123851";"1";"2026-01-19 14:15:00.000";"70";"1"
"14123888";"1";"2026-01-19 14:45:00.000";"94";"1"
"14124057";"1";"2026-01-19 14:15:00.000";"72";"1"
"14124723";"2";"2026-01-19 09:00:00.000";"40";"1"
"14125050";"1";"2026-01-19 14:15:00.000";"99";"1"
"14125325";"1";"2026-01-19 15:00:00.000";"30";"1"
